refseq_ncrna	transcript_biotype
NR_040514	processed_transcript
NR_045857	lincRNA
NR_037693	lincRNA
NR_033120	processed_transcript
NR_126156	processed_transcript
NR_126157	processed_transcript
NR_033729	antisense
NR_040496	antisense
NR_028042	transcribed_processed_pseudogene
NR_046208	lincRNA
NR_040727	lincRNA
NR_003652	processed_transcript
NR_045853	lincRNA
NR_040736	lincRNA
NR_029456	antisense
NR_045731	lincRNA
NR_002864	sense_intronic
NR_131124	lincRNA
NR_040409	antisense
NR_037982	antisense
NR_037983	antisense
NR_015583	retained_intron
NR_024720	processed_transcript
NR_045964	lincRNA
NR_040336	lincRNA
NR_045899	lincRNA
NR_102378	antisense
NR_040407	antisense
NR_045924	antisense
NR_045151	antisense
NR_130980	antisense
NR_037189	processed_transcript
NR_038189	antisense
NR_038181	antisense
NR_038004	lincRNA
NR_073086	processed_transcript
NR_027659	lincRNA
NR_040454	lincRNA
NR_126479	processed_transcript
NR_040631	lincRNA
NR_045940	lincRNA
NR_110447	lincRNA
NR_073433	TEC
NR_045479	lincRNA
NR_040597	lincRNA
NR_046022	lincRNA
NR_045735	lincRNA
NR_045285	lincRNA
NR_045505	antisense
NR_030708	processed_transcript
NR_028428	processed_transcript
NR_102366	lincRNA
NR_046157	lincRNA
NR_073523	processed_transcript
NR_073524	processed_transcript
NR_130986	lincRNA
NR_131145	lincRNA
NR_045489	lincRNA
NR_045320	lincRNA
NR_045273	antisense
NR_027993	retained_intron
NR_033544	lincRNA
NR_073205	lincRNA
NR_131020	lincRNA
NR_045919	antisense
NR_015499	lincRNA
NR_046047	antisense
NR_040337	antisense
NR_040688	lincRNA
NR_040689	lincRNA
NR_040687	lincRNA
NR_045621	lincRNA
NR_045454	processed_transcript
NR_102341	antisense
NR_027985	lincRNA
NR_040703	antisense
NR_040372	processed_transcript
NR_040381	antisense
NR_040382	antisense
NR_046277	lincRNA
NR_040505	processed_transcript
NR_121596	lincRNA
NR_015573	lincRNA
NR_121593	lincRNA
NR_121594	lincRNA
NR_121595	lincRNA
NR_132106	lincRNA
NR_045161	lincRNA
NR_040554	antisense
NR_028487	processed_transcript
NR_028486	processed_transcript
NR_045931	antisense
NR_003619	processed_transcript
